code	name	link
2 11 392 21 20 4	Отходы зачистки отсадочных машин при обогащении угля	/fkko/21139221204/
2 11 711 21 42 4	Пыль газоочистки при проведении буровых работ для добычи угля	/fkko/21171121424/
2 11 900 00 00 0	Прочие отходы при добыче и обогащении угля	/fkko/21190000000/
2 11 971 31 72 5	Отходы (мусор) при уборке горных выработок добычи угля, содержащие преимущественно древесину	/fkko/21197131725/
2 12 000 00 00 0	Отходы добычи сырой нефти и природного газа	/fkko/21200000000/
2 12 100 00 00 0	Отходы добычи сырой нефти и нефтяного (попутного) газа	/fkko/21210000000/
2 12 101 01 31 3	Конденсат газовый нефтяного (попутного) газа	/fkko/21210101313/
2 12 109 11 39 3	Отходы сепарации природного газа при добыче сырой нефти и нефтяного (попутного) газа	/fkko/21210911393/
2 12 111 24 21 4	Отходы комовой серы при очистке нефтяного (попутного) газа	/fkko/21211124214/
2 12 121 11 31 4	Пластовая вода при добыче сырой нефти и нефтяного (попутного) газа (содержание нефти менее 15%)	/fkko/21212111314/
2 12 171 11 39 3	Отходы зачистки сепарационного оборудования подготовки попутного нефтяного газа	/fkko/21217111393/
2 12 200 00 00 0	Отходы добычи природного газа и газового конденсата	/fkko/21220000000/
2 12 201 11 31 3	Эмульсия нефтесодержащая при очистке и осушке природного газа и/или газового конденсата	/fkko/21220111313/
2 12 203 11 39 4	Отходы очистки природного газа от механических примесей	/fkko/21220311394/
2 12 209 11 39 4	Отходы сепарации природного газа при добыче природного газа и газового конденсата	/fkko/21220911394/
2 12 211 11 31 3	Сорбент на основе жидких углеводородов, метанола, формальдегида и третичных аминов, отработанный при очистке природного газа и газового конденсата от сераорганических соединений	/fkko/21221111313/
2 12 800 00 00 0	Отходы очистки вод перед закачкой их в пласт при добыче сырой нефти и природного газа	/fkko/21280000000/
2 12 801 11 39 3	Отходы механической очистки пластовой воды перед закачкой ее в пласт при добыче сырой нефти и природного газа (содержание нефтепродуктов 15% и более)	/fkko/21280111393/
2 12 801 12 39 4	Отходы механической очистки пластовой воды перед закачкой ее в пласт при добыче сырой нефти и природного газа (содержание нефтепродуктов менее 15%)	/fkko/21280112394/
2 12 811 11 39 4	Отходы механической очистки сеноманской воды перед закачкой ее в пласт при добыче сырой нефти и природного газа	/fkko/21281111394/
2 20 000 00 00 0	ОТХОДЫ ДОБЫЧИ МЕТАЛЛИЧЕСКИХ РУД	/fkko/22000000000/
2 21 000 00 00 0	Отходы добычи и обогащения железных руд	/fkko/22100000000/
2 21 100 00 00 0	Отходы добычи железных руд подземным способом	/fkko/22110000000/
2 21 111 11 20 5	Вмещающая (пустая) порода при добыче железных руд подземным способом	/fkko/22111111205/
2 21 200 00 00 0	Отходы добычи железных руд открытым способом	/fkko/22120000000/
2 21 300 00 00 0	Отходы обогащения и агломерации железных руд	/fkko/22130000000/
2 21 310 00 00 0	Отходы (хвосты) обогащения железных руд	/fkko/22131000000/
2 21 310 01 39 5	Отходы (хвосты) мокрой магнитной сепарации железных руд	/fkko/22131001395/
2 21 310 02 39 5	Отходы (хвосты) сухой магнитной сепарации железных руд	/fkko/22131002395/
2 21 312 11 20 4	Отходы (хвосты) обогащения обожженного сидерита методом сухой магнитной сепарации	/fkko/22131211204/
2 21 320 00 00 0	Отходы агломерации железных руд	/fkko/22132000000/
2 21 321 02 40 4	Отходы (осадок) мокрой очистки газов агломерационного производства от соединений серы известковым молоком	/fkko/22132102404/
2 21 322 03 20 4	Осадок отстоя воды гидроуборки оборудования агломерации железных руд	/fkko/22132203204/
2 21 322 21 30 4	Осадок очистки загрязненных производственных вод при обогащении железных руд	/fkko/22132221304/
2 21 631 11 60 4	Ткань фильтровальная из синтетических волокон, отработанная при фильтрации и обезвоживании железорудного концентрата	/fkko/22163111604/
2 21 711 21 42 4	Пыль газоочистки при агломерации железных руд	/fkko/22171121424/
2 21 711 31 39 4	Осадок мокрой газоочистки при обогащении железных руд	/fkko/22171131394/
2 21 721 11 33 5	Отходы мокрой газоочистки при обогащении титаномагнетитовых железных руд	/fkko/22172111335/
2 21 811 11 39 5	Отходы (осадок) механической очистки шахтно-рудничных вод при добыче железных руд	/fkko/22181111395/
2 21 821 11 39 5	Отходы (осадок) механической очистки сточных вод дробления и обогащения железных руд	/fkko/22182111395/
2 21  2 11 20 5	Вскрышная порода при добыче железных руд открытым способом	/fkko/221 21111205/
2 22 000 00 00 0	Отходы добычи и обогащения руд цветных металлов	/fkko/22200000000/
2 22 100 00 00 0	Отходы добычи и обогащения медных руд	/fkko/22210000000/
2 22 111 11 20 5	Вмещающая (пустая) порода при добыче медноколчеданных руд	/fkko/22211111205/
2 22 111 21 20 5	Вскрышная порода слабоминерализованная при добыче медноколчеданных руд открытым способом	/fkko/22211121205/
2 22 120 00 00 0	Отходы обогащения медных руд	/fkko/22212000000/
2 22 120 01 39 5	Отходы (хвосты) обогащения медных руд практически неопасные	/fkko/22212001395/
2 22 120 51 39 5	Отходы (хвосты) обогащения медно-цинковых и медно-колчеданных руд	/fkko/22212051395/
2 22 123 11 39 5	Отходы (хвосты) флотации молибденово-медных руд	/fkko/22212311395/
2 22 123 31 39 5	Отходы (хвосты) обогащения флотацией медно-порфировых руд	/fkko/22212331395/
2 22 129 11 20 4	Отходы обогащения медных руд и шлака медеплавильного производства в смеси	/fkko/22212911204/
2 22 161 23 61 4	Ткань фильтровальная на основе полиэфирного волокна, отработанная при флотационном обогащении медно-порфировых руд	/fkko/22216123614/
2 22 171 11 42 4	Пыль газоочистки с преимущественным содержанием диоксида кремния при обогащении медно-цинковых руд	/fkko/22217111424/
